rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,full_address
287,11,Christchurch Primary School,Redbridge,131847,3 to 11,142,1117.0,18.0,Does not apply,False,174,45.67,24.45806875410554,False,77.3118932038835,79.0,14.0,108.0,112.0,112.0,110.66666666666667,IG1 4LQ,51.56469,0.076481,80,507378,507500,"Wellesley Road, Ilford, IG1 4LQ"
288,6,Christ Church CofE School,Tower Hamlets,100944,3 to 11,17,153.0,35.0,Church of England,True,,10.0,15.3,False,77.28155339805825,71.0,35.0,114.0,107.0,111.0,110.66666666666667,E1 6PU,51.518305,-0.071499,27,1133296,850000,"47a Brick Lane, Spitalfields, London, E1 6PU"
289,9,St Paul's CofE Primary School,Enfield,102035,4 to 11,57,420.0,9.0,Church of England,True,,18.26,23.001095290251914,False,77.251213592233,77.0,32.0,109.0,108.0,110.0,109.0,N21 2RA,51.634597,-0.099633,56,699490,715000,"Ringwood Way, Winchmore Hill, London, N21 2RA"
290,12,Aldborough Primary School,Redbridge,136934,4 to 11,51,365.0,41.0,Does not apply,False,175,19.8,18.434343434343432,False,77.22087378640776,90.0,16.0,108.0,109.0,110.0,109.0,IG3 8HZ,51.57038,0.095312,112,526415,525000,"231 Aldborough Road South, Seven Kings, Ilford, IG3 8HZ"
291,10,All Saints CofE Primary School,Hammersmith and Fulham,100344,3 to 11,30,213.0,23.0,Church of England,True,,9.4,22.659574468085104,False,77.20873786407768,80.0,13.0,110.0,109.0,111.0,110.0,SW6 6ED,51.472859,-0.21361,198,1794213,1650000,"Bishops Avenue, Fulham, London, SW6 6ED"
292,4,Bourne Primary School,Hillingdon,102368,3 to 11,29,220.0,28.0,Does not apply,False,176,10.0,22.0,False,77.18446601941747,83.0,21.0,109.0,110.0,108.0,109.0,HA4 6UJ,51.553339,-0.394489,6,519667,530000,"Cedar Avenue, Ruislip, HA4 6UJ"
293,8,Dairy Meadow Primary School,Ealing,101894,3 to 11,55,401.0,44.0,Does not apply,False,177,18.0,22.27777777777778,False,77.12378640776699,82.0,18.0,108.0,110.0,110.0,109.33333333333333,UB2 4RP,51.50195,-0.373141,49,546551,463000,"Swift Road, Dairy Meadow Primary School, Southall, UB2 4RP"
294,8,Aragon Primary School,Merton,144838,3 to 11,79,623.0,32.0,Does not apply,False,178,25.2,24.72222222222222,False,77.00849514563107,85.0,15.0,109.0,110.0,109.0,109.33333333333333,SM4 4QU,51.389182,-0.221355,116,536794,532500,"Aragon Primary School, Aragon Road, Morden, SM4 4QU"
295,7,Rockmount Primary School,Croydon,101783,3 to 11,57,449.0,33.0,Does not apply,False,179,21.31,21.069920225246364,False,76.97208737864078,82.0,18.0,111.0,108.0,109.0,109.33333333333333,SE19 3ST,51.419396,-0.089803,71,671276,645000,"Chevening Road, Upper Norwood, London, SE19 3ST"
296,23,Christ Church Primary School,Barnet,101316,3 to 11,30,214.0,7.0,Church of England,True,,10.6,20.18867924528302,False,76.89927184466019,77.0,30.0,109.0,108.0,110.0,109.0,EN5 4NS,51.657769,-0.213475,36,648917,662500,"Byng Road, Christ Church Primary School, Barnet, EN5 4NS"
297,5,Hacton Primary School,Havering,146136,3 to 11,86,635.0,13.0,Does not apply,False,180,34.89,18.20005732301519,False,76.89320388349515,83.0,26.0,108.0,109.0,109.0,108.66666666666667,RM12 6AU,51.553699,0.225688,18,481972,479000,"Chepstow Avenue, Hornchurch, RM12 6AU"
298,24,Sunnyfields Primary School,Barnet,101311,3 to 11,30,253.0,43.0,Does not apply,False,181,12.14,20.840197693574957,False,76.76577669902913,80.0,17.0,108.0,109.0,112.0,109.66666666666667,NW4 4JH,51.59153,-0.232315,24,573421,557500,"Hatchcroft, Off Greyhound Hill, Hendon, London, NW4 4JH"
299,25,Chalgrove Primary School,Barnet,101309,4 to 11,28,216.0,14.0,Does not apply,False,182,14.5,14.89655172413793,True,76.75364077669903,86.0,7.0,110.0,110.0,112.0,110.66666666666667,N3 3PL,51.592511,-0.205742,22,817827,850000,"Chalgrove Gardens, Finchley, London, N3 3PL"
300,11,Miles Coverdale Primary School,Hammersmith and Fulham,100326,3 to 11,30,225.0,50.0,Does not apply,False,183,12.33,18.248175182481752,False,76.6747572815534,73.0,37.0,108.0,109.0,111.0,109.33333333333333,W12 8JJ,51.504863,-0.22903,157,1338735,1300000,"Coverdale Road, Shepherds Bush, Coverdale Road, London, W12 8JJ"
