rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,lsoa_code,lsoa_name,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,family_area_rating,area_safety_percentile,imd_lower_deprivation_percentile,imd_rank,imd_decile,imd_score,imd_lsoa_name,imd_local_authority,recent_family_crime_weighted_count_1mi,recent_crime_total_count_1mi,recent_crime_month,catchment_radius_m,catchment_source_year,catchment_source_name,catchment_source_url,catchment_note,full_address
32,3,Hampden Gurney CofE Primary School,Westminster,101123,3 to 11,26,227.0,12.0,Church of England,True,,12.4,18.306451612903224,False,95.38228155339806,100.0,19.0,114.0,117.0,117.0,116.0,W1H 5HA,,,,,,,,,,,,,,,,,,,,,,,,"13 Nutford Place, London, W1H 5HA"
33,2,St Mary's CofE Primary School,Waltham Forest,144238,5 to 11,77,578.0,19.0,Church of England,True,,29.4,19.65986394557823,False,95.31553398058253,96.0,36.0,111.0,113.0,111.0,111.66666666666667,E17 9HJ,,,,,,,,,,,,,,,,,,,,,,,,"Brooke Road, Walthamstow, London, E17 9HJ"
34,4,Marshgate Primary School,Richmond upon Thames,133728,4 to 11,59,416.0,10.0,Does not apply,False,19,17.37,23.949337938975244,False,95.19417475728156,88.0,37.0,111.0,111.0,114.0,112.0,TW10 6HY,,,,,,,,,,,,,,,,,,,,,,,,"157 Queens Road, Richmond, TW10 6HY"
35,2,Courtland School,Barnet,101271,4 to 11,29,207.0,21.0,Does not apply,False,20,9.26,22.354211663066955,False,95.16990291262137,97.0,21.0,112.0,112.0,116.0,113.33333333333333,NW7 3BG,,,,,,,,,,,,,,,,,,,,,,,,"Courtland Avenue, Mill Hill, London, NW7 3BG"
36,1,"Christ Church Primary School, Hampstead",Camden,100028,4 to 11,25,191.0,16.0,Church of England,True,,11.4,16.75438596491228,False,95.14563106796116,88.0,56.0,111.0,111.0,113.0,111.66666666666667,NW3 1JH,,,,,,,,,,,,,,,,,,,,,,,,"Christ Church Hill, London, NW3 1JH"
37,5,The Vineyard School,Richmond upon Thames,102906,4 to 11,88,575.0,9.0,Does not apply,False,21,30.0,19.166666666666668,False,94.7997572815534,86.0,30.0,112.0,113.0,113.0,112.66666666666667,TW10 6NE,,,,,,,,,,,,,,,,,,,,,,,,"Friars Stile Road, Richmond, TW10 6NE"
38,2,Tollgate Primary School,Newham,143881,3 to 11,54,412.0,54.0,Does not apply,False,22,26.4,15.606060606060607,False,94.64199029126213,91.0,37.0,112.0,111.0,111.0,111.33333333333333,E13 8SA,,,,,,,,,,,,,,,,,,,,,,,,"Barclay Road, Plaistow, London, E13 8SA"
39,1,St Joseph's Catholic Primary School,Islington,100441,2 to 11,56,510.0,30.0,Roman Catholic,True,,22.0,23.181818181818183,False,94.64199029126213,89.0,29.0,111.0,112.0,113.0,112.0,N19 5NE,,,,,,,,,,,,,,,,,,,,,,,,"Highgate Hill, Highgate, Dartmouth Park Hill, London, N19 5NE"
40,1,Our Lady of Grace Catholic Primary School,Greenwich,100168,4 to 11,60,417.0,30.0,Roman Catholic,True,,16.8,24.82142857142857,False,94.63592233009709,87.0,45.0,111.0,112.0,112.0,111.66666666666667,SE7 7HR,,,,,,,,,,,,,,,,,,,,,,,,"16 Highcombe, Charlton, London, SE7 7HR"
41,4,Essendine Primary School,Westminster,101111,3 to 11,43,262.0,51.0,Does not apply,False,23,14.0,18.714285714285715,False,94.32038834951456,84.0,37.0,111.0,112.0,114.0,112.33333333333333,W9 2LR,,,,,,,,,,,,,,,,,,,,,,,,"Essendine Road, London, W9 2LR"
42,3,Elmhurst Primary School,Newham,145362,3 to 11,110,988.0,36.0,Does not apply,False,24,52.68,18.754745634016704,False,94.23543689320388,92.0,27.0,110.0,113.0,114.0,112.33333333333333,E7 8JY,,,,,,,,,,,,,,,,,,,,,,,,"Upton Park Road, Forest Gate, London, E7 8JY"
43,3,"St Andrew's CofE Voluntary Aided Primary School, Totteridge",Barnet,101327,4 to 11,28,195.0,14.0,Church of England,True,,9.2,21.195652173913047,False,94.1990291262136,93.0,25.0,113.0,113.0,111.0,112.33333333333333,N20 8NX,,,,,,,,,,,,,,,,,,,,,,,,"The Green, Totteridge, London, N20 8NX"
44,4,Rosetta Primary School,Newham,145087,4 to 11,74,559.0,53.0,Does not apply,False,25,35.2,15.880681818181817,False,94.07766990291262,91.0,26.0,112.0,110.0,114.0,112.0,E16 3PB,,,,,,,,,,,,,,,,,,,,,,,,"Sophia Road, Custom House, London, E16 3PB"
45,6,Archdeacon Cambridge's Church of England Primary School,Richmond upon Thames,102920,3 to 11,58,443.0,2.0,Church of England,True,,18.12,24.44812362030905,False,94.04733009708738,84.0,33.0,113.0,111.0,113.0,112.33333333333333,TW2 5TU,,,,,,,,,,,,,,,,,,,,,,,,"The Green, Twickenham, TW2 5TU"
46,2,Rhodes Avenue Primary School,Haringey,102128,3 to 11,91,688.0,5.0,Does not apply,False,26,28.3,24.31095406360424,False,93.9381067961165,92.0,30.0,112.0,111.0,111.0,111.33333333333333,N22 7UT,,,,,,,,,,,,,,,,,,,,,,,,"Rhodes Avenue, London, N22 7UT"
47,4,Brunswick Park Primary and Nursery School,Barnet,101264,3 to 11,59,447.0,20.0,Does not apply,False,27,22.3,20.044843049327355,False,93.93203883495146,93.0,36.0,110.0,111.0,112.0,111.0,N14 5DU,,,,,,,,,,,,,,,,,,,,,,,,"Osidge Lane, Southgate, London, N14 5DU"
48,4,St Joseph's Catholic Primary School,Kensington and Chelsea,148438,3 to 11,29,226.0,14.0,Roman Catholic,True,,13.51,16.72834937083642,False,93.91383495145631,93.0,28.0,112.0,110.0,112.0,111.33333333333333,SW3 2QT,,,,,,,,,,,,,,,,,,,,,,,,"Cadogan Street, London, SW3 2QT"
49,4,St Peter's Primary School,Hammersmith and Fulham,100352,4 to 11,30,209.0,30.0,Church of England,True,,8.6,24.30232558139535,False,93.80461165048544,90.0,40.0,111.0,111.0,111.0,111.0,W6 9BA,,,,,,,,,,,,,,,,,,,,,,,,"33 St Peter's Road, Hammersmith, London, W6 9BA"
50,1,Crofton Junior School,Bromley,137683,7 to 11,176,715.0,12.0,None,False,28,37.34,19.148366363149435,False,93.62257281553397,91.0,37.0,112.0,110.0,111.0,111.0,BR5 1EL,,,,,,,,,,,,,,,,,,,,,,,,"Towncourt Lane, Orpington, BR5 1EL"
51,5,John Betts Primary School,Hammersmith and Fulham,100346,5 to 11,28,202.0,25.0,None,False,29,11.8,17.11864406779661,False,93.62257281553397,100.0,36.0,111.0,110.0,111.0,110.66666666666667,W6 0UA,,,,,,,,,,,,,,,,,,,,,,,,"Paddenswick Road, London, W6 0UA"
52,4,Aldersbrook Primary School,Redbridge,102823,3 to 11,86,664.0,12.0,Does not apply,False,30,35.74,18.578623391158366,False,93.51941747572816,90.0,22.0,112.0,113.0,112.0,112.33333333333333,E12 5HL,,,,,,,,,,,,,,,,,,,,,,,,"Harpenden Road, Wanstead, London, E12 5HL"
53,1,Merryhills Primary School,Enfield,150114,4 to 11,89,621.0,8.0,Does not apply,False,31,28.8,21.5625,False,93.5133495145631,90.0,30.0,111.0,110.0,113.0,111.33333333333333,EN2 7RE,,,,,,,,,,,,,,,,,,,,,,,,"Bincote Road, Enfield, EN2 7RE"
54,7,The King's Church of England Primary School,Richmond upon Thames,102921,4 to 11,43,394.0,9.0,Church of England,True,,17.8,22.134831460674157,False,93.39199029126213,88.0,42.0,111.0,110.0,112.0,111.0,TW9 3HJ,,,,,,,,,,,,,,,,,,,,,,,,"Cumberland Road, Kew, Richmond, TW9 3HJ"
55,2,Hampstead Parochial Church of England Primary School,Camden,100031,4 to 11,26,199.0,19.0,Church of England,True,,8.9,22.359550561797754,False,93.35558252427184,85.0,42.0,111.0,111.0,112.0,111.33333333333333,NW3 6TX,,,,,,,,,,,,,,,,,,,,,,,,"Hampstead Parochial School , Holly Bush Vale, Hampstead, London, NW3 6TX"
56,1,Regina Coeli Catholic Primary School,Croydon,101800,4 to 11,55,382.0,27.0,Roman Catholic,True,,17.35,22.017291066282418,False,93.3373786407767,84.0,29.0,112.0,113.0,112.0,112.33333333333333,CR2 6DF,,,,,,,,,,,,,,,,,,,,,,,,"173 Pampisford Road, South Croydon, CR2 6DF"
57,5,Monkfrith Primary School,Barnet,101293,5 to 11,59,415.0,8.0,Does not apply,False,32,19.31,21.491455204557226,False,93.25849514563107,88.0,25.0,111.0,111.0,114.0,112.0,N14 5NG,,,,,,,,,,,,,,,,,,,,,,,,"Knoll Drive, London, N14 5NG"
58,3,Lift Noel Park,Haringey,138588,3 to 11,53,621.0,38.0,None,False,33,24.2,25.66115702479339,False,93.13106796116504,92.0,26.0,112.0,111.0,111.0,111.33333333333333,N22 6LH,,,,,,,,,,,,,,,,,,,,,,,,"Gladstone Avenue, Wood Green, London, N22 6LH"
59,5,Vicarage Primary School,Newham,145366,3 to 11,118,876.0,49.0,Does not apply,False,34,37.8,23.174603174603178,False,93.11286407766991,88.0,25.0,110.0,114.0,115.0,113.0,E6 6AD,,,,,,,,,,,,,,,,,,,,,,,,"Vicarage Lane, East Ham, London, E6 6AD"
60,2,Iqra Primary School,Lambeth,135614,3 to 11,29,244.0,38.0,Muslim,True,,11.8,20.677966101694913,False,93.1128640776699,97.0,21.0,110.0,114.0,114.0,112.66666666666667,SW4 9PA,,,,,,,,,,,,,,,,,,,,,,,,"127 Park Hill, Off Clarence Avenue, Clapham, London, SW4 9PA"
61,1,Deanesfield Primary School,Hillingdon,102377,3 to 11,89,676.0,17.0,Does not apply,False,35,29.47,22.938581608415337,False,93.10679611650485,87.0,27.0,112.0,111.0,112.0,111.66666666666667,HA4 0LR,,,,,,,,,,,,,,,,,,,,,,,,"Queens Walk, Ruislip, HA4 0LR"
62,6,St Stephen's Primary School,Newham,102748,4 to 11,90,623.0,44.0,Does not apply,False,36,31.6,19.71518987341772,False,93.04611650485437,89.0,31.0,110.0,111.0,113.0,111.33333333333333,E6 1AS,,,,,,,,,,,,,,,,,,,,,,,,"Whitfield Road, London, E6 1AS"
63,1,Judith Kerr Primary School,Southwark,139907,3 to 11,44,407.0,5.0,None,False,37,20.2,20.14851485148515,False,93.04004854368931,86.0,27.0,113.0,111.0,112.0,112.0,SE24 9JE,,,,,,,,,,,,,,,,,,,,,,,,"62-68 Half Moon Lane, Herne Hill, London, SE24 9JE"
64,1,East Lane Primary School,Brent,144794,4 to 11,86,628.0,16.0,None,False,38,45.0,13.955555555555556,True,92.97330097087378,88.0,28.0,111.0,110.0,114.0,111.66666666666667,HA0 3NT,,,,,,,,,,,,,,,,,,,,,,,,"East Lane, Wembley, HA0 3NT"
65,2,St James' Roman Catholic Primary School,Bromley,137958,5 to 11,32,218.0,9.0,Roman Catholic,True,,8.6,25.348837209302328,False,92.9004854368932,94.0,31.0,110.0,112.0,111.0,111.0,BR5 1BL,,,,,,,,,,,,,,,,,,,,,,,,"Maybury Close, Petts Wood, Orpington, BR5 1BL"
66,4,Eden Primary,Haringey,136808,4 to 11,29,205.0,0.0,Jewish,True,,10.5,19.523809523809526,False,92.87621359223301,93.0,21.0,112.0,111.0,112.0,111.66666666666667,N10 1NR,,,,,,,,,,,,,,,,,,,,,,,,"79 Creighton Avenue, Muswell Hill, London, N10 1NR"
67,3,Willow Brook Primary School Academy,Waltham Forest,138364,3 to 11,87,664.0,36.0,Does not apply,False,39,33.4,19.880239520958085,False,92.77912621359224,89.0,31.0,111.0,110.0,112.0,111.0,E10 7BH,,,,,,,,,,,,,,,,,,,,,,,,"190 Church Road, Leyton, London, E10 7BH"
68,6,West London Free School Primary,Hammersmith and Fulham,139546,4 to 11,59,416.0,24.0,None,False,40,20.64,20.155038759689923,False,92.71237864077669,92.0,36.0,110.0,110.0,112.0,110.66666666666667,W6 0LB,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge Grove, London, W6 0LB"
69,1,"Newton Farm Nursery, Infant and Junior School",Harrow,102181,3 to 11,58,453.0,14.0,Does not apply,False,41,21.2,21.367924528301888,False,92.61529126213593,83.0,28.0,111.0,112.0,114.0,112.33333333333333,HA2 9JU,,,,,,,,,,,,,,,,,,,,,,,,"Ravenswood Crescent, South Harrow, Harrow, HA2 9JU"
70,2,Beaumont Primary School,Croydon,101756,4 to 11,29,212.0,14.0,Does not apply,False,42,12.08,17.549668874172184,False,92.59708737864078,90.0,34.0,112.0,109.0,112.0,111.0,CR8 4DN,,,,,,,,,,,,,,,,,,,,,,,,"Old Lodge Lane, Purley, CR8 4DN"
71,1,Scotts Primary School,Havering,102316,4 to 11,60,420.0,10.0,Does not apply,False,43,17.3,24.277456647398843,False,92.4878640776699,90.0,32.0,110.0,110.0,113.0,111.0,RM12 6TH,,,,,,,,,,,,,,,,,,,,,,,,"Bonington Road, Hornchurch, RM12 6TH"
72,2,Belmont Primary School,Hounslow,102470,3 to 11,56,451.0,21.0,Does not apply,False,44,18.55,24.31266846361186,False,92.4878640776699,84.0,29.0,112.0,111.0,112.0,111.66666666666667,W4 5UL,,,,,,,,,,,,,,,,,,,,,,,,"Belmont Road, Chiswick, London, W4 5UL"
73,2,Enfield Heights Academy,Enfield,138381,4 to 11,27,199.0,48.0,None,False,45,10.8,18.425925925925924,False,92.3483009708738,93.0,22.0,110.0,112.0,113.0,111.66666666666667,EN3 5BY,,,,,,,,,,,,,,,,,,,,,,,,"Pitfield Way, Enfield Highway, Enfield, EN3 5BY"
74,3,Harris Primary Academy Beckenham Green,Bromley,144287,4 to 11,31,210.0,26.0,Does not apply,False,46,7.63,27.522935779816514,False,92.2633495145631,97.0,16.0,113.0,113.0,113.0,113.0,BR3 5JG,,,,,,,,,,,,,,,,,,,,,,,,"St George's Road, Beckenham, BR3 5JG"
75,6,Monken Hadley CofE Primary School,Barnet,101318,4 to 11,24,149.0,0.0,Church of England,True,,7.49,19.893190921228303,False,92.05703883495146,88.0,25.0,110.0,112.0,113.0,111.66666666666667,EN4 0NJ,,,,,,,,,,,,,,,,,,,,,,,,"Camlet Way, Monken Hadley, Barnet, EN4 0NJ"
