rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,lsoa_code,lsoa_name,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,family_area_rating,area_safety_percentile,imd_lower_deprivation_percentile,imd_rank,imd_decile,imd_score,imd_lsoa_name,imd_local_authority,recent_family_crime_weighted_count_1mi,recent_crime_total_count_1mi,recent_crime_month,catchment_radius_m,catchment_source_year,catchment_source_name,catchment_source_url,catchment_note,full_address
201,7,Cheam Park Farm Primary Academy,Sutton,140260,4 to 11,128,919.0,11.0,Does not apply,False,123,36.04,25.499445061043286,False,82.19660194174757,79.0,31.0,110.0,110.0,109.0,109.66666666666667,SM3 9UU,,,,,,,,,,,,,,,,,,,,,,,,"Molesey Drive, Cheam, Sutton, SM3 9UU"
202,15,Moss Hall Junior School,Barnet,101294,7 to 11,107,468.0,17.0,Does not apply,False,124,19.82,23.612512613521695,False,81.94174757281554,81.0,23.0,110.0,109.0,110.0,109.66666666666667,N3 1NR,,,,,,,,,,,,,,,,,,,,,,,,"187 Nether Street, Finchley, Moss Hall Grove, London, N3 1NR"
203,4,Hoxton Garden Primary,Hackney,131141,3 to 11,56,384.0,66.0,Does not apply,False,125,22.0,17.454545454545453,False,81.93567961165049,84.0,21.0,110.0,108.0,111.0,109.66666666666667,N1 5JD,,,,,,,,,,,,,,,,,,,,,,,,"Ivy Street, Hackney, London, N1 5JD"
204,11,Davies Lane Primary School,Waltham Forest,143384,2 to 11,119,956.0,23.0,Does not apply,False,126,45.0,21.244444444444444,False,81.82038834951456,87.0,30.0,109.0,109.0,109.0,109.0,E11 3DR,,,,,,,,,,,,,,,,,,,,,,,,"Davies Lane, Leytonstone, London, E11 3DR"
205,6,Deansfield Primary School,Greenwich,143599,3 to 11,55,462.0,13.0,Does not apply,False,127,20.5,22.536585365853657,False,81.77791262135923,91.0,27.0,109.0,110.0,108.0,109.0,SE9 1XP,,,,,,,,,,,,,,,,,,,,,,,,"Dairsie Road, Eltham, London, SE9 1XP"
206,10,Saint Mary's Catholic Primary School,Kensington and Chelsea,100499,3 to 11,25,165.0,44.0,Roman Catholic,True,,12.8,12.890625,True,81.61407766990291,76.0,28.0,109.0,110.0,111.0,110.0,W10 5AW,,,,,,,,,,,,,,,,,,,,,,,,"East Row, North Kensington, London, W10 5AW"
207,17,St Michael's Catholic Primary School,Newham,150664,3 to 11,27,212.0,44.0,Roman Catholic,True,,10.6,20.0,False,81.58980582524272,81.0,19.0,109.0,110.0,111.0,110.0,E6 6EE,,,,,,,,,,,,,,,,,,,,,,,,"Howard Road, East Ham, London, E6 6EE"
208,4,Concordia Academy,Havering,142885,4 to 11,31,539.0,35.0,None,False,128,25.0,21.56,False,81.55339805825243,81.0,16.0,111.0,109.0,111.0,110.33333333333333,RM7 0HG,,,,,,,,,,,,,,,,,,,,,,,,"Union Road, Romford, RM7 0HG"
209,4,Mayflower Primary School,Tower Hamlets,100913,3 to 11,50,407.0,60.0,Does not apply,False,129,23.5,17.319148936170212,False,81.54733009708738,80.0,20.0,109.0,110.0,111.0,110.0,E14 6DU,,,,,,,,,,,,,,,,,,,,,,,,"Upper North Street, Poplar, London, E14 6DU"
210,7,Benedict Academy,Merton,147970,3 to 11,30,183.0,67.0,None,False,130,11.42,16.024518388791595,False,81.52305825242718,93.0,17.0,109.0,108.0,112.0,109.66666666666667,CR4 3BE,,,,,,,,,,,,,,,,,,,,,,,,"Church Road, Mitcham, CR4 3BE"
211,6,"All Saints' CofE Primary School, Putney",Wandsworth,101034,3 to 11,24,172.0,29.0,Church of England,True,,9.33,18.435155412647372,False,81.46844660194175,79.0,21.0,111.0,109.0,110.0,110.0,SW15 1HL,,,,,,,,,,,,,,,,,,,,,,,,"Putney Common, Putney, London, SW15 1HL"
212,7,St Eugene de Mazenod Roman Catholic Primary School,Camden,100047,4 to 11,27,204.0,48.0,Roman Catholic,True,,9.0,22.666666666666668,False,81.4381067961165,81.0,30.0,110.0,109.0,109.0,109.33333333333333,NW6 4LS,,,,,,,,,,,,,,,,,,,,,,,,"Mazenod Avenue, London, NW6 4LS"
213,14,St James's Catholic Primary School,Richmond upon Thames,102913,3 to 11,93,665.0,2.0,Roman Catholic,True,,30.78,21.604938271604937,False,81.25606796116504,85.0,32.0,109.0,108.0,110.0,109.0,TW2 5NP,,,,,,,,,,,,,,,,,,,,,,,,"260 Stanley Road, Twickenham, TW2 5NP"
214,18,Keir Hardie Primary School,Newham,102725,3 to 11,59,451.0,63.0,Does not apply,False,131,22.8,19.780701754385966,False,81.19538834951456,85.0,14.0,109.0,110.0,112.0,110.33333333333333,E16 1FZ,,,,,,,,,,,,,,,,,,,,,,,,"13 Robertson Road, Canning Town, London, E16 1FZ"
215,12,Roger Ascham Primary School,Waltham Forest,136362,3 to 11,57,407.0,40.0,Does not apply,False,132,20.29,20.059142434696895,False,81.15898058252426,86.0,26.0,111.0,107.0,110.0,109.33333333333333,E17 5HU,,,,,,,,,,,,,,,,,,,,,,,,"1 Wigton Road, Walthamstow, London, E17 5HU"
216,6,Stanhope Primary School,Ealing,101907,2 to 11,51,365.0,51.0,Does not apply,False,133,19.9,18.34170854271357,False,81.15291262135922,78.0,29.0,110.0,108.0,111.0,109.66666666666667,UB6 9EG,,,,,,,,,,,,,,,,,,,,,,,,"Mansell Road, Greenford, UB6 9EG"
217,16,Brookland Junior School,Barnet,101262,7 to 11,84,353.0,20.0,Does not apply,False,134,16.98,20.78916372202591,False,81.13470873786409,82.0,17.0,110.0,110.0,110.0,110.0,NW11 6EJ,,,,,,,,,,,,,,,,,,,,,,,,"Hill Top, Hampstead Garden Suburb, London, NW11 6EJ"
218,9,Rokesly Junior School,Haringey,102106,7 to 11,81,301.0,20.0,Does not apply,False,135,15.0,20.066666666666666,False,81.10436893203884,81.0,28.0,110.0,109.0,109.0,109.33333333333333,N8 8NH,,,,,,,,,,,,,,,,,,,,,,,,"Rokesly Avenue, London, N8 8NH"
219,7,Oasis Academy Putney,Wandsworth,140222,4 to 11,20,121.0,50.0,None,False,136,7.6,15.921052631578949,False,80.98907766990291,80.0,30.0,109.0,109.0,110.0,109.33333333333333,SW15 1LY,,,,,,,,,,,,,,,,,,,,,,,,"184 Lower Richmond Road, London, SW15 1LY"
220,17,St Agnes' Catholic Primary School,Barnet,101332,3 to 11,56,431.0,34.0,Roman Catholic,True,,20.5,21.024390243902438,False,80.8373786407767,82.0,25.0,109.0,109.0,110.0,109.33333333333333,NW2 1RG,,,,,,,,,,,,,,,,,,,,,,,,"Thorverton Road, Cricklewood, London, NW2 1RG"
221,10,St Bede's Catholic Primary School,Redbridge,102845,3 to 11,59,437.0,24.0,Roman Catholic,True,,19.06,22.92759706190976,False,80.80703883495146,95.0,14.0,109.0,110.0,110.0,109.66666666666667,RM6 5RR,,,,,,,,,,,,,,,,,,,,,,,,"Canon Avenue, Chadwell Heath, Romford, RM6 5RR"
222,7,Charles Dickens Primary School,Southwark,148012,2 to 11,59,479.0,47.0,Does not apply,False,137,20.7,23.14009661835749,False,80.72815533980582,92.0,34.0,109.0,110.0,107.0,108.66666666666667,SE1 1AF,,,,,,,,,,,,,,,,,,,,,,,,"Toulmin Street, London, SE1 1AF"
223,5,Simon Marks Jewish Primary School,Hackney,100275,3 to 11,20,124.0,40.0,Jewish,True,,9.6,12.916666666666668,True,80.6735436893204,100.0,10.0,109.0,110.0,113.0,110.66666666666667,N16 6PD,,,,,,,,,,,,,,,,,,,,,,,,"75 Cazenove Road, Stoke Newington, Hackney, London, N16 6PD"
224,8,"Saint Joseph's Catholic Primary School, the Borough",Southwark,100834,3 to 11,24,169.0,33.0,Roman Catholic,True,,10.6,15.943396226415095,False,80.625,83.0,21.0,111.0,110.0,108.0,109.66666666666667,SE1 1NJ,,,,,,,,,,,,,,,,,,,,,,,,"Little Dorrit Court, Redcross Way, London, SE1 1NJ"
225,7,Meridian Primary School,Greenwich,100137,3 to 11,28,222.0,14.0,Does not apply,False,138,15.47,14.350355526826114,True,80.57038834951456,82.0,21.0,111.0,108.0,110.0,109.66666666666667,SE10 9NY,,,,,,,,,,,,,,,,,,,,,,,,"Old Woolwich Road, Greenwich, London, SE10 9NY"
226,5,Hadley Wood Primary School,Enfield,101994,4 to 11,29,205.0,7.0,Does not apply,False,139,10.3,19.90291262135922,False,80.53398058252426,100.0,7.0,111.0,110.0,112.0,111.0,EN4 0HT,,,,,,,,,,,,,,,,,,,,,,,,"Courtleigh Avenue, Hadley Wood, Barnet, EN4 0HT"
227,8,Eltham Church of England Primary School,Greenwich,100167,3 to 11,59,446.0,19.0,Church of England,True,,22.0,20.272727272727273,False,80.39441747572815,83.0,15.0,110.0,109.0,111.0,110.0,SE9 1TR,,,,,,,,,,,,,,,,,,,,,,,,"Roper Street, Eltham, London, SE9 1TR"
228,2,Fern Hill Primary School,Kingston upon Thames,148798,3 to 11,93,671.0,15.0,Does not apply,False,140,25.6,26.2109375,False,80.33373786407768,78.0,23.0,110.0,109.0,110.0,109.66666666666667,KT2 5PE,,,,,,,,,,,,,,,,,,,,,,,,"Richmond Road, Kingston upon Thames, KT2 5PE"
229,7,Ambler Primary School and Children's Centre,Islington,100397,0 to 11,60,525.0,37.0,Does not apply,False,141,22.39,23.44796784278696,False,80.28519417475728,78.0,13.0,111.0,110.0,112.0,111.0,N4 2DR,,,,,,,,,,,,,,,,,,,,,,,,"Blackstock Road, Finsbury Park, London, N4 2DR"
230,8,Trinity St Mary's CofE Primary School,Wandsworth,101047,2 to 11,21,120.0,62.0,Church of England,True,,7.9,15.189873417721518,True,80.16383495145631,71.0,19.0,110.0,112.0,112.0,111.33333333333333,SW12 8DR,,,,,,,,,,,,,,,,,,,,,,,,"6 Balham Park Road, London, SW12 8DR"
231,9,Dulwich Hamlet Junior School,Southwark,136665,7 to 11,86,364.0,16.0,Does not apply,False,142,14.65,24.84641638225256,False,80.14563106796116,84.0,28.0,110.0,109.0,108.0,109.0,SE21 7AL,,,,,,,,,,,,,,,,,,,,,,,,"Dulwich Village, London, SE21 7AL"
232,7,Sinai Jewish Primary School,Brent,101549,3 to 11,92,645.0,7.0,Jewish,True,,36.92,17.470205850487538,False,80.11529126213593,86.0,20.0,109.0,108.0,111.0,109.33333333333333,HA3 9UD,,,,,,,,,,,,,,,,,,,,,,,,"Shakespeare Drive, Kenton, Harrow, HA3 9UD"
233,5,St John Fisher Catholic Primary School,Harrow,146178,4 to 11,89,624.0,10.0,Roman Catholic,True,,25.29,24.67378410438909,False,80.08495145631068,84.0,17.0,109.0,110.0,110.0,109.66666666666667,HA5 5RA,,,,,,,,,,,,,,,,,,,,,,,,"Melrose Road, Pinner, HA5 5RA"
234,10,St Martin of Porres Catholic Primary School,Haringey,102150,4 to 11,18,117.0,28.0,Roman Catholic,True,,7.4,15.81081081081081,False,79.98179611650485,83.0,17.0,110.0,109.0,110.0,109.66666666666667,N11 2AF,,,,,,,,,,,,,,,,,,,,,,,,"Blake Road, New Southgate, London, N11 2AF"
235,18,Foulds School,Barnet,101279,5 to 11,45,313.0,4.0,Does not apply,False,143,14.66,21.350613915416098,False,79.88470873786407,84.0,11.0,110.0,111.0,111.0,110.66666666666667,EN5 4NR,,,,,,,,,,,,,,,,,,,,,,,,"Byng Road, Barnet, EN5 4NR"
236,3,Foster's Primary School,Bexley,101451,3 to 11,62,450.0,19.0,None,False,144,22.02,20.435967302452315,False,79.7754854368932,82.0,18.0,109.0,109.0,111.0,109.66666666666667,DA16 1PN,,,,,,,,,,,,,,,,,,,,,,,,"Westbrooke Road, Welling, DA16 1PN"
237,13,Selwyn Primary School,Waltham Forest,143383,2 to 11,87,708.0,32.0,Does not apply,False,145,27.0,26.22222222222222,False,79.75728155339806,87.0,34.0,110.0,108.0,108.0,108.66666666666667,E4 9NE,,,,,,,,,,,,,,,,,,,,,,,,"105 Selwyn Avenue, London, E4 9NE"
238,6,Grange Park Primary School,Enfield,145207,3 to 11,93,806.0,22.0,Does not apply,False,146,32.8,24.573170731707318,False,79.73907766990291,87.0,23.0,108.0,109.0,110.0,109.0,N21 1PP,,,,,,,,,,,,,,,,,,,,,,,,"World's End Lane, Winchmore Hill, London, N21 1PP"
239,7,St Andrew's Southgate Primary School (CE),Enfield,102030,4 to 11,29,198.0,21.0,Church of England,True,,9.24,21.428571428571427,False,79.67839805825243,79.0,31.0,108.0,110.0,110.0,109.33333333333333,N14 6JA,,,,,,,,,,,,,,,,,,,,,,,,"297 Chase Road, Southgate, London, N14 6JA"
240,14,Thomas Gamuel Primary School,Waltham Forest,140405,2 to 11,42,347.0,38.0,Does not apply,False,147,15.2,22.828947368421055,False,79.36893203883496,83.0,21.0,109.0,108.0,111.0,109.33333333333333,E17 8LG,,,,,,,,,,,,,,,,,,,,,,,,"Colchester Road, Walthamstow, London, E17 8LG"
241,11,Oratory Roman Catholic Primary School,Kensington and Chelsea,100491,5 to 11,29,210.0,17.0,Roman Catholic,True,,10.0,21.0,False,79.32645631067962,83.0,17.0,110.0,108.0,111.0,109.66666666666667,SW3 6QH,,,,,,,,,,,,,,,,,,,,,,,,"Bury Walk, Cale Street, Chelsea, London, SW3 6QH"
242,15,Bishop Perrin Church of England Primary School,Richmond upon Thames,102918,4 to 11,30,209.0,13.0,Church of England,True,,10.65,19.624413145539904,False,79.25970873786407,83.0,20.0,110.0,108.0,110.0,109.33333333333333,TW2 6LF,,,,,,,,,,,,,,,,,,,,,,,,"Hospital Bridge Road, Twickenham, TW2 6LF"
243,19,The Orion Primary School,Barnet,131970,2 to 11,118,955.0,64.0,Does not apply,False,148,46.34,20.60854553301683,False,79.25364077669903,77.0,14.0,110.0,110.0,112.0,110.66666666666667,NW7 2AL,,,,,,,,,,,,,,,,,,,,,,,,"Grahame Park Way, Mill Hill, London, NW7 2AL"
244,7,Herbert Morrison Primary School,Lambeth,100604,3 to 11,26,213.0,27.0,Does not apply,False,149,10.2,20.88235294117647,False,79.21723300970874,88.0,12.0,111.0,109.0,110.0,110.0,SW8 2HP,,,,,,,,,,,,,,,,,,,,,,,,"Hartington Road, London, SW8 2HP"
245,20,"St Mary's CofE Primary School, East Barnet",Barnet,101324,4 to 11,31,217.0,10.0,Church of England,True,,10.98,19.763205828779597,False,79.08373786407768,77.0,16.0,110.0,109.0,112.0,110.33333333333333,EN4 8SR,,,,,,,,,,,,,,,,,,,,,,,,"Littlegrove, East Barnet, Barnet, EN4 8SR"
246,6,St Joseph's Catholic Primary School,Harrow,146246,4 to 11,59,408.0,24.0,Roman Catholic,True,,17.8,22.92134831460674,False,79.04126213592232,86.0,22.0,108.0,109.0,110.0,109.0,HA3 7LP,,,,,,,,,,,,,,,,,,,,,,,,"Dobbin Close, Belmont Circle, Harrow, HA3 7LP"
247,9,St Mary's CofE Nursery and Primary School,Wandsworth,101046,3 to 11,21,197.0,14.0,Church of England,True,,11.0,17.90909090909091,False,78.95024271844659,76.0,24.0,109.0,109.0,111.0,109.66666666666667,SW15 1BA,,,,,,,,,,,,,,,,,,,311,2026,Wandsworth Council reception allocations,https://www.wandsworth.gov.uk/media/4q2f3jqt/how_places_were_allocated_for_primary_schools_2026.pdf,Furthest distance offered for open places,"Felsham Road, Putney, St. Mary's CE Primary School, Putney, London, SW15 1BA"
248,8,Fitzjohn's Primary School,Camden,100026,3 to 11,27,230.0,19.0,Does not apply,False,150,10.3,22.33009708737864,False,78.87135922330097,81.0,22.0,109.0,108.0,111.0,109.33333333333333,NW3 6NP,,,,,,,,,,,,,,,,,,,,,,,,"86A Fitzjohn's Avenue, London, NW3 6NP"
249,15,Stoneydown Park School,Waltham Forest,103079,3 to 11,61,611.0,18.0,Does not apply,False,151,29.68,20.58625336927224,False,78.85922330097087,80.0,18.0,109.0,109.0,111.0,109.66666666666667,E17 6JY,,,,,,,,,,,,,,,,,,,,,,,,"Pretoria Avenue, Walthamstow, London, E17 6JY"
250,10,St Mary's Catholic Primary School,Bromley,141535,4 to 11,50,411.0,8.0,Roman Catholic,True,,17.4,23.620689655172416,False,78.84708737864078,82.0,16.0,110.0,109.0,110.0,109.66666666666667,BR3 5DE,,,,,,,,,,,,,,,,,,,,,,,,"Westgate Road, Beckenham, BR3 5DE"
251,7,Vaughan Primary School,Harrow,102223,3 to 11,90,676.0,17.0,Does not apply,False,152,28.55,23.677758318739055,False,78.82888349514563,86.0,21.0,109.0,108.0,110.0,109.0,HA1 4EL,,,,,,,,,,,,,,,,,,,,,,,,"The Gardens, Vaughan Road, West Harrow, Harrow, HA1 4EL"
252,10,Belleville Primary School,Wandsworth,137563,3 to 11,118,1006.0,28.0,Does not apply,False,153,51.7,19.45841392649903,False,78.81067961165049,77.0,29.0,110.0,108.0,110.0,109.33333333333333,SW11 6PR,,,,,,,,,,,,,,,,,,,1210,2026,Wandsworth Council reception allocations,https://www.wandsworth.gov.uk/media/4q2f3jqt/how_places_were_allocated_for_primary_schools_2026.pdf,Furthest distance offered under proximity criterion,"Belleville Road, Battersea, London, SW11 6PR"
253,4,Leigh Stationers' Primary Academy,Bexley,142586,3 to 11,30,229.0,3.0,Does not apply,False,154,9.1,25.164835164835164,False,78.79854368932038,87.0,17.0,109.0,108.0,111.0,109.33333333333333,DA16 2ST,,,,,,,,,,,,,,,,,,,,,,,,"Eastcote Road, Welling, DA16 2ST"
254,11,Parish Church of England Primary School,Bromley,139984,4 to 11,88,584.0,9.0,Church of England,True,,27.77,21.029888368743247,False,78.7864077669903,80.0,31.0,109.0,108.0,110.0,109.0,BR1 4HF,,,,,,,,,,,,,,,,,,,,,,,,"London Lane, Bromley, BR1 4HF"
255,8,William Tyndale Primary School,Islington,137566,3 to 11,59,447.0,31.0,Does not apply,False,155,19.5,22.923076923076923,False,78.7864077669903,83.0,19.0,110.0,108.0,110.0,109.33333333333333,N1 2GG,,,,,,,,,,,,,,,,,,,,,,,,"Upper Street, London, N1 2GG"
256,8,Wolfson Hillel Primary School,Enfield,146663,3 to 11,58,465.0,2.0,Jewish,True,,26.22,17.73455377574371,False,78.7864077669903,88.0,10.0,110.0,109.0,112.0,110.33333333333333,N14 4LG,,,,,,,,,,,,,,,,,,,,,,,,"154 Chase Road, Southgate, London, N14 4LG"
257,11,St John Vianney RC Primary School,Haringey,102152,3 to 11,26,231.0,42.0,Roman Catholic,True,,11.42,20.2276707530648,False,78.71966019417475,77.0,27.0,109.0,109.0,110.0,109.33333333333333,N15 3HD,,,,,,,,,,,,,,,,,,,,,,,,"Stanley Road, Tottenham, London, N15 3HD"
258,21,St Mary's CofE Primary School,Barnet,101323,3 to 11,56,434.0,16.0,Church of England,True,,22.6,19.20353982300885,False,78.70752427184466,82.0,25.0,109.0,109.0,109.0,109.0,N3 1BT,,,,,,,,,,,,,,,,,,,,,,,,"Dollis Park, Finchley, London, N3 1BT"
259,9,New End Primary School,Camden,100019,3 to 11,46,320.0,22.0,Does not apply,False,156,16.2,19.75308641975309,False,78.66504854368932,83.0,15.0,110.0,109.0,110.0,109.66666666666667,NW3 1HU,,,,,,,,,,,,,,,,,,,,,,,,"Streatley Place, Hampstead, London, NW3 1HU"
260,16,St Mary's Church of England Primary School,Richmond upon Thames,102914,4 to 11,89,607.0,8.0,Church of England,True,,25.7,23.618677042801558,False,78.56796116504854,89.0,11.0,111.0,109.0,110.0,110.0,TW1 3HE,,,,,,,,,,,,,,,,,,,,,,,,"Amyand Park Road, Twickenham, TW1 3HE"
261,10,St Joseph's RC Primary School,Westminster,149488,3 to 11,23,259.0,30.0,Roman Catholic,True,,11.8,21.94915254237288,False,78.5618932038835,78.0,17.0,110.0,108.0,113.0,110.33333333333333,W9 1DF,,,,,,,,,,,,,,,,,,,,,,,,"Lanark Road, Maida Vale, London, W9 1DF"
262,5,St Joseph's Catholic Primary School,Bexley,101457,4 to 11,32,212.0,16.0,Roman Catholic,True,,9.35,22.673796791443852,False,78.50121359223301,84.0,25.0,109.0,107.0,111.0,109.0,DA1 4DZ,,,,,,,,,,,,,,,,,,,,,,,,"Old Road, Crayford, Dartford, DA1 4DZ"
263,8,Jubilee Primary School,Lambeth,133662,3 to 11,29,307.0,59.0,Does not apply,False,157,17.1,17.953216374269005,False,78.30703883495146,79.0,24.0,110.0,110.0,108.0,109.33333333333333,SW2 2JE,,,,,,,,,,,,,,,,,,,,,,,,"Tulse Hill, London, SW2 2JE"
264,9,St Mary's Catholic Primary School,Greenwich,144091,3 to 11,60,453.0,12.0,Roman Catholic,True,,17.4,26.03448275862069,False,78.25242718446603,83.0,32.0,109.0,108.0,109.0,108.66666666666667,SE9 1UF,,,,,,,,,,,,,,,,,,,,,,,,"Glenure Road, Eltham, London, SE9 1UF"
265,8,Stanburn Primary School,Harrow,102214,3 to 11,102,676.0,23.0,Does not apply,False,158,33.0,20.484848484848484,False,78.22815533980582,88.0,8.0,109.0,111.0,113.0,111.0,HA7 2PJ,,,,,,,,,,,,,,,,,,,,,,,,"Abercorn Road, Stanmore, HA7 2PJ"
266,9,Henry Cavendish Primary School,Lambeth,100567,3 to 11,104,832.0,32.0,Does not apply,False,159,39.45,21.089987325728767,False,78.21601941747572,77.0,25.0,109.0,109.0,110.0,109.33333333333333,SW12 0JA,,,,,,,,,,,,,,,,,,,,,,,,"Hydethorpe Road, London, SW12 0JA"
267,5,St Peter's London Docks CofE Primary School,Tower Hamlets,100960,3 to 11,24,232.0,42.0,Church of England,True,,12.4,18.70967741935484,False,78.20388349514563,83.0,21.0,109.0,111.0,108.0,109.33333333333333,E1W 3QT,,,,,,,,,,,,,,,,,,,,,,,,"Garnet Street, ., London, E1W 3QT"
268,16,Woodford Green Primary School,Waltham Forest,146681,2 to 11,28,229.0,25.0,Does not apply,False,160,10.8,21.203703703703702,False,78.18567961165049,93.0,21.0,108.0,108.0,110.0,108.66666666666667,IG8 0ST,,,,,,,,,,,,,,,,,,,,,,,,"Sunset Avenue, Woodford Green, IG8 0ST"
269,19,Earlham Primary School,Newham,145088,3 to 11,56,464.0,55.0,Does not apply,False,161,19.87,23.351786612984398,False,78.17961165048544,84.0,18.0,107.0,110.0,112.0,109.66666666666667,E7 9AW,,,,,,,,,,,,,,,,,,,,,,,,"Earlham Grove, Forest Gate, London, E7 9AW"
270,10,Sherington Primary School,Greenwich,100141,3 to 11,57,435.0,26.0,Does not apply,False,162,16.0,27.1875,False,78.14320388349515,84.0,21.0,109.0,108.0,110.0,109.0,SE7 7JP,,,,,,,,,,,,,,,,,,,,,,,,"Wyndcliff Road, Charlton, Wyndcliff Road, London, SE7 7JP"
271,7,Christ the Saviour Church of England Primary School,Ealing,136445,3 to 11,117,899.0,20.0,Church of England,True,,39.86,22.553938785750127,False,78.11893203883496,82.0,24.0,110.0,108.0,109.0,109.0,W5 2AA,,,,,,,,,,,,,,,,,,,,,,,,"1 Springbridge Road, Ealing Broadway, Ealing, London, W5 2AA"
272,17,Whittingham Primary Academy,Waltham Forest,139317,3 to 11,50,363.0,32.0,Does not apply,False,163,15.4,23.57142857142857,False,78.04611650485437,82.0,26.0,108.0,110.0,109.0,109.0,E17 5QX,,,,,,,,,,,,,,,,,,,,,,,,"Higham Hill Road, Walthamstow, London, E17 5QX"
273,11,"Christ Church Church of England Primary School, Shooters Hill",Greenwich,100166,5 to 11,30,208.0,20.0,Church of England,True,,8.7,23.908045977011497,False,78.00970873786409,73.0,20.0,112.0,109.0,110.0,110.33333333333333,SE18 3RS,,,,,,,,,,,,,,,,,,,,,,,,"Shooters Hill, London, SE18 3RS"
274,11,John Burns Primary School,Wandsworth,101014,3 to 11,21,165.0,71.0,Does not apply,False,164,11.0,15.0,True,77.99150485436893,90.0,14.0,110.0,108.0,110.0,109.33333333333333,SW11 5QR,,,,,,,,,,,,,,,,,,,,2026,Wandsworth Council reception allocations,https://www.wandsworth.gov.uk/media/4q2f3jqt/how_places_were_allocated_for_primary_schools_2026.pdf,All applicants offered,"Wycliffe Road, Lavender Hill, London, SW11 5QR"
275,4,Warren Junior School,Barking and Dagenham,101219,7 to 11,136,559.0,26.0,Does not apply,False,165,24.2,23.09917355371901,False,77.99150485436893,79.0,13.0,109.0,110.0,113.0,110.66666666666667,RM6 6DA,,,,,,,,,,,,,,,,,,,,,,,,"Gordon Road, Chadwell Heath, Romford, RM6 6DA"
276,6,Gonville Academy,Croydon,136714,3 to 11,60,442.0,35.0,Does not apply,False,166,20.6,21.45631067961165,False,77.9368932038835,80.0,18.0,108.0,110.0,111.0,109.66666666666667,CR7 6DL,,,,,,,,,,,,,,,,,,,,,,,,"Gonville Road, Thornton Heath, CR7 6DL"
277,22,Sacred Heart Roman Catholic Primary School,Barnet,101338,4 to 11,60,403.0,15.0,Roman Catholic,True,,18.02,22.364039955604884,False,77.85194174757282,83.0,22.0,108.0,109.0,110.0,109.0,N20 9JU,,,,,,,,,,,,,,,,,,,,,,,,"2 Oakleigh Park South, Whetstone, London, N20 9JU"
278,6,Orchard Primary School,Hackney,100234,3 to 11,75,531.0,47.0,Does not apply,False,167,33.0,16.09090909090909,False,77.82160194174757,87.0,23.0,109.0,109.0,108.0,108.66666666666667,E9 7BB,,,,,,,,,,,,,,,,,,,,,,,,"Holcroft Road, Hackney, London, E9 7BB"
279,7,The Rosary Catholic Primary School,Hounslow,135261,3 to 11,53,387.0,23.0,Roman Catholic,True,,17.71,21.852060982495765,False,77.7366504854369,85.0,11.0,108.0,111.0,114.0,111.0,TW5 0RL,,,,,,,,,,,,,,,,,,,,,,,,"10 The Green, Heston, Hounslow, TW5 0RL"
280,12,St Patrick's Catholic Primary School,Greenwich,100173,3 to 11,50,336.0,30.0,Roman Catholic,True,,16.2,20.74074074074074,False,77.60922330097088,88.0,24.0,107.0,109.0,110.0,108.66666666666667,SE18 7QG,,,,,,,,,,,,,,,,,,,,,,,,"St Patrick's Catholic Primary School,Griffin Road, Plumstead, London, SE18 7QG"
281,10,Streatham Wells Primary,Lambeth,149556,3 to 11,30,234.0,40.0,Does not apply,False,168,10.6,22.07547169811321,False,77.60315533980582,93.0,17.0,111.0,108.0,108.0,109.0,SW2 3NJ,,,,,,,,,,,,,,,,,,,,,,,,"50 Palace Road, London, SW2 3NJ"
282,10,Kingsgate Primary School,Camden,132245,3 to 11,72,594.0,68.0,Does not apply,False,169,32.9,18.054711246200608,False,77.58495145631068,88.0,24.0,108.0,110.0,108.0,108.66666666666667,NW6 4LB,,,,,,,,,,,,,,,,,,,,,,,,"Kingsgate Road, London, NW6 4LB"
283,9,Langford Primary School,Hammersmith and Fulham,141685,3 to 11,30,338.0,43.0,Does not apply,False,170,18.6,18.172043010752688,False,77.57888349514563,90.0,20.0,109.0,108.0,109.0,108.66666666666667,SW6 2LG,,,,,,,,,,,,,,,,,,,,,,,,"Gilstead Road, Fulham, London, SW6 2LG"
284,2,Turnham Academy,Lewisham,146100,3 to 11,25,171.0,48.0,None,False,171,11.2,15.267857142857144,False,77.42718446601941,88.0,24.0,106.0,111.0,110.0,109.0,SE4 2HH,,,,,,,,,,,,,,,,,,,,,,,,"Turnham Road, Brockley, London, SE4 2HH"
285,13,Kidbrooke Park Primary School,Greenwich,149683,3 to 11,60,440.0,45.0,Does not apply,False,172,24.02,18.318068276436303,False,77.39077669902913,75.0,18.0,109.0,110.0,111.0,110.0,SE3 8JG,,,,,,,,,,,,,,,,,,,,,,,,"202a Holburne Road, London, SE3 8JG"
